free,ing,not_ing,recipeID,title,ingredients,directions,rel
a fun dish without meat,"lettuce, licorice, eggs, lemon juice, curry powder, tofu",meat,1075757,Chilled Shrimp And Avocado Salad,"['Dressing', '1 cup mayonnaise', '2 tablespoons ginger, candied,finely chopped', '2 tablespoons lemon juice', '1/4 teaspoon curry powder', '2 eggs, hard boiled,chopped', '2 green onions, chopped', '1/4 teaspoon pepper, white', '1 teaspoon salt', 'Salad', '12 shrimp, jumbo,cooked', '1 avocado, peeled and sliced', '1/2 cucumber, peeled and sliced', '1 head lettuce, small']","Blend mayonnaise into a bowl with the ginger, lemon juice, curry powder, eggs and green onions. Add salt and pepper to dressing, cover and refrigerate over night. When you are ready, peel the shrimp. Peel and slice the avocado and cucumber. Arrange the lettuce leaves and cucumber on plate. Spoon the dressing over top of the shrimp and avocado and add to lettuce and cucumber.",4
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,1936642,Caramel Popcorn Recipe,"['1/2 c. Butter or possibly Margarine', '1 c. Corn Syrup', '2 c. Brown Sugar', '4 quart Popped 94% fat-free butter flavor Microwave Popcorn - or possibly air popped']","Bring the first three ingredients to a boil in a large saucepan. Boil one minute and pour over 4 qts of popped popcorn. Spread onto waxed paper for loose caramel corn or possibly form into balls with buttered hands. Variations: Cracker JackAdd 1 c. dry roasted peanuts to caramel mix just before pouring over popcorn. Follow directions as above for loose caramel corn. Spooky MixAdd 1 c. Cashews to caramel mix just before pouring over popcorn. Mix as directed above, and when loose caramel corn is cooled, add in 2 c. Candy Corn and 1 c. Raisins; toss. Makes a great snack mix!",4
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,1969882,Caramel Popcorn Balls,"['3/4 cups Caramel Sauce', '8 cups Popped Popcorn', '1/2 cups Mini Marshmallows', '2 Tablespoons Powdered Sugar', '2 cups Dark Chocolate Chips, Melted']","In a large bowl, add in popcorn. Set aside. Line a baking pan with parchment paper. Set aside. In a small saucepan, heat caramel sauce until it starts to boil. Remove from heat and pour over popcorn. Let cool for about 23 minutes. Stir in marshmallows and powdered sugar. Grease your hands using cooking spray and form mixture into 8 balls. Place onto parchment paper. Dip each ball into melted chocolate. Let set until chocolate is hardened. Enjoy!",5
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,1547795,Chocolate Covered Caramel Popcorn,"['6 quarts Popped Popcorn', '1 cup Butter', '2 cups Brown Sugar (lightly Packed)', '1 teaspoon Salt', '1/2 cups Light Corn Syrup', '1 teaspoon Baking Soda', '1 teaspoon Vanilla Extract', '1 bag Bittersweet Chocolate Chips, A Bag Is 10 Ounces.']","1. Preheat oven to 250 F. 2. Have your popcorn popped and ready, with any un-popped kernels removed. Have it in a bowl or pot that's large enough to hold all the popcorn with room to stir it around. 3. In a 3-quart saucepan, combine the butter, brown sugar, salt, and light corn syrup. Cook over medium heat. Once it comes to a boil, cook for 5 minutes. 4. Remove the pan from the heat and stir in the baking soda and vanilla extract. 5. Pour the caramel over the popcorn and mix well to coat all the popcorn. 6. Pour the caramel covered popcorn over 2 rimmed sheet pans that have been coated in cooking spray. 7. Bake the popcorn for 1 hour, stirring every 15 minutes. 8. Then remove the pans from the oven and allow the popcorn to cool completely. 9. Once the popcorn has cooled gently stir it with a spatula to separate it. 10. Melt the chocolate chips in a double boiler, or in the microwave. If you heat it in the microwave, make sure that you only heat for 30 seconds at a time, stirring in between each additional heating. Stop once it's smooth. 11. Drizzle the chocolate over the pans of popcorn using a spoon or a spatula. 12. Put the pans into the refrigerator to set the chocolate. 13. Once the chocolate has set, use a spatula to again gently break up the popcorn, then portion it into bags or containers. Store in a cool location. *Note: If you prefer milk chocolate, then use bars. Milk chocolate chips may clump when melted. ** For 6 cups of popped corn it took about 3/4 cup of un-popped kernels, and I had to pop 1/4 cup of kernels at a time in my popper.",5
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,1165074,Peanut Butter Caramel Corn,"['POPCORN', '1/4 cup vegetable oil', '1 cup popcorn', 'kosher salt', 'PEANUT BUTTER CARAMEL', '1 cup unsalted butter', '2 cups light brown sugar', '1/2 cup light corn syrup', '1/2 cup creamy peanut butter', '1 teaspoon kosher salt', '1/2 teaspoon baking soda', '1 teaspoon vanilla extract']","Preheat the oven to 250 degrees F. First make the popcorn: Put a large pot over medium heat, and add the oil and popcorn. Place a lid on the pot, slightly askew, so that steam can escape. Pop the corn until there are a few seconds between pops, and it sounds like they are mostly cooked. Pour the popped corn into a large roasting pan (like one you would use to roast a turkey) and sprinkle with kosher salt. In the same pot that you made the popcorn, melt the butter, brown sugar, corn syrup, peanut butter and salt. Bring to a boil, stirring, for 7 minutes. In a tiny bowl, mix the baking soda and vanilla together until the baking soda is mostly dissolved. Remove the pot from the heat, and stir in the vanilla and baking soda mixture. The caramel should be very light and frothy. Immediately pour the caramel over the popcorn, and gently fold the caramel into the popcorn to coat it. (At this point, you might think there is not enough caramel for the corn, as there will be globs of caramel, and a lot of the popcorn will not seem well-coated. But don't worry! There will be plenty.). Bake the caramel corn for 15 minutes. Remove the roasting pan from the oven and gently stir the popcorn into the melting caramel until the popcorn is better coated. Return to the oven for another 15 minutes, after which the popcorn should be evenly coated with the caramel. Return the caramel corn to the oven and bake for a final 15 minutes. Remove from the oven and give the corn one final stir to coat thoroughly. Let cool completely, about 30 minutes. When the popcorn is totally cool, it will have a nice, thin, crispy coating. Serve immediately or store in airtight containers for up to 10 days.",4
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,1678659,Caramel Popcorn Bowl,"['Nonstick cooking spray, for spraying the mixing bowls', '16 cups popped natural popcorn', '1 cup salted peanuts', '1 cup (2 sticks) unsalted butter', '1 1/2 cups lightly packed brown sugar', '1/3 cup light corn syrup', '1/2 teaspoon kosher salt', '1 1/2 cups white chocolate melting wafers', '2 teaspoons coconut oil', '10 cups favorite flavor popped popcorn']","For the caramel popcorn bowl: Spray the inside of a 4-quart glass mixing bowl with nonstick cooking spray. Spray the outside of a smaller (3-quart) glass mixing bowl. Set aside. In a large heatproof bowl, toss together the popcorn and peanuts. In a medium saucepan, melt the butter. Add the brown sugar, corn syrup and salt and stir until well combined, taking care not to get sugar crystals stuck to the sides of the pot. Bring to a boil and cook until a candy thermometer inserted in the mixture reads 300 degrees F. Pour the caramel mixture over the popcorn and peanuts. Stir with a rubber spatula to evenly coat all of the popcorn mixture. While still hot, pour the coated popcorn into the greased 4-quart mixing bowl. Use the smaller bowl to push the popcorn against and up the sides to form the walls of the bowl. Refrigerate to set. In the meantime, over a double boiler or in a microwave at intervals, melt the white chocolate together with the coconut oil, stirring to combine. Remove the popcorn bowl from the refrigerator. Use a rubber spatula, spoon and/or pastry brush to coat the inside of the bowl completely with the melted white chocolate. Place back in the refrigerator to set for at least 1 hour and up to overnight. For the popcorn filling: Remove the bowl from the refrigerator and fill with your favorite flavor of popcorn. Serve or wrap up for a gift.",5
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,496682,Corn Pudding,"['6 ears fresh corn or 4 c. frozen uncooked corn', '1/2 c. butter', '1/4 c. sugar', '1 Tbsp. flour', '1/2 c. cream or evaporated milk', '2 eggs, well beaten', '1 1/2 tsp. baking powder', 'salt to taste', 'dash of cinnamon']","Scrape uncooked corn from the cob. Heat butter until melted. Stir in sugar and flour and remove from heat. Gradually stir in cream. Add well beaten eggs, baking powder and salt. Mix well. Fold in corn, stirring until well mixed. Grease a 2-quart casserole. Pour in corn mixture. Bake 45 minutes at 350\u00b0. Sprinkle with cinnamon. Serves 6.",2
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,1467054,Big Tin Popcorn Cake,"['4 cups butter-flavored popcorn (from a popcorn tin)', '4 cups Cheddar-flavored popcorn (from a popcorn tin)', '4 cups caramel-flavored popcorn (from a popcorn tin)', '6 cups miniature marshmallows, divided', '6 Tbsp. (3 oz.) salted butter, divided, plus more for pan', '2 cups white chocolate melting wafers', 'Orange oil-based food coloring', '1 cup caramel wafers']","Invert pan onto a cake plate. Melt white chocolate melting wafers according to package directions; divide in half. Drizzle one-half white chocolate over butter popcorn portion, letting it drip down sides. Stir orange food coloring into remaining melted wafers; drizzle over Cheddar popcorn portion. Melt caramel wafers according to package directions; drizzle over caramel popcorn portion. Let stand until set, about 30 minutes.",5
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,1995719,Philly Bircher Muesli,"['1 cup rolled oats', '250ml apple and mango juice Whole Foods 2 ea For $4.00 thru 02/09', '2 sundowner apples, grated Safeway 1 lb For $0.99 thru 02/09', '60g block PHILADELPHIA Light Cream Cheese, cubed', '1/2 teaspoon cinnamon', '1/2 cup hazelnuts, toasted and roughly chopped', '1 cup blueberries (fresh or frozen) Whole Foods 3 For $10.00 thru 02/09', 'extra apple slices to serve Safeway 1 lb For $0.99 thru 02/09', 'nectarine slices to serve']","Combine oats, juice and grated apple. Leave to soak for 1 hour or overnight. Stir through Philly*, cinnamon and hazelnuts. Spoon into serving bowls. Garnish with blueberries, nectarines and extra apples slices. Serve.",3
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,1547799,Popcorn And Caramel Chocolate Candy Cones,"['FOR THE CANDY COATED CONES:', '5 whole Ice Cream Cones (Regular Cake-Type Cones With A Flat Bottom)', '4 ounces, weight Vanilla Candy Coating (4 Ounces Is 2 Squares Of Almond Bark)', 'Decorative Candy Sprinkles', 'FOR THE POPCORN AND CARAMEL CHOCOLATE FILLING:', '1/2 cups Popcorn Kernels', '1/4 teaspoons Salt', '30 Caramel Candies (Pre-Wrapped Squares)', '1 Tablespoon Water', '1/2 cups Chocolate Chips', '1/2 cups Heath English Toffee Bits']","For the candy coated cones: Lay a piece of parchment paper over a cookie sheet. Add one of the candy coating squares into a ramekin or small bowl that has a diameter slightly larger than the top of the ice cream cone. Melt the candy coating in a microwave for 30 second bursts making sure to stir between each 30 seconds. Dip the top of two of the ice cream cones into the melted candy coating. You may need to tilt the bowl slightly so the coating covers the area that is about an inch to two inches from the top of the cone. Then sprinkle the decorative candies on top of the candy coating. Next, set the bottom of the cone in the candy coating tilting the bowl slightly so the coating covers the area that is about an inch to two inches from the bottom of the cone. Set the bottom of the cone on the parchment paper and let the candy coating dry (about 30 minutes). The candy coating on the bottom helps to give the cone a better \ footing\  so that it doesn't tip over when the popcorn is stacked on the top. After dipping two of the cones in the coating, add the other square of candy coating to the bowl and melt it in the microwave, using the same method described above. Then dip the remaining cones into the melted chocolate and decorate with the candy sprinkles the same as above. For the popcorn and caramel chocolate filling: While the candy coating hardens, pop the popcorn according to package instructions. Once popped put the popcorn into a bowl, removing any un-popped kernels, add salt and set aside. Unwrap the caramels and add them to a medium size saucepan. Heat the pan on low to medium heat and stir constantly. Once the caramels start to melt add the water and continue to stir. Once the caramels are totally melted, remove the pan from the heat and set aside for a quick moment. In a small bowl, melt the chocolate chips in a microwave for 30 second bursts making sure to stir between each 30 seconds. Drizzle the caramel in the bottom of the ice cream cones (about 2 teaspoons). Then drizzle the chocolate in the cones (about 2 teaspoons). Next, sprinkle some of the toffee bits in the bottom of the cones. Add the popcorn until it reaches the top of the cone. Then drizzle more of the caramel and chocolate, and top with the a few more toffee bits. Next add as much popcorn to the top of the chocolate that will stick. If you have extra you can add more kernels of popcorn by dipping them in the caramel so they'll stick. When adding them, try to make an overall shape that looks like a scoop of ice cream. Lastly, drizzle any remaining caramel and chocolate over the popcorn and top with toffee bits. The caramel hardens quickly so you may need to warm it up on the stove a couple times in between making the cones. Let the caramel and chocolate harden on top of the popcorn before serving (about an hour).",5
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,1893805,Caramel Popcorn with Peanuts and Chocolate,"['1 cup unpopped kernels or 24 cups popped corn', '1 cup (2 sticks) unsalted butter, cut into chunks', '2 cups firmly packed dark brown sugar', '1/2 cup light corn syrup', '2 tablespoons unsulfured molasses', '1/2 teaspoon salt', '3/4 teaspoon baking soda', '1 1/2 teaspoons pure vanilla extract', '1 1/4 cups salted peanuts', '8 ounces good-quality milk chocolate, melted and tempered (see Notes)', '8 ounces good-quality dark chocolate (60 to 72%), melted and tempered (see Notes)']","If you are starting with kernels, pop them using any method you prefer and let them cool. (We like a hot-air popper.) Preheat the oven to 250 degrees F. Place the popcorn in a large roasting pan. Line a sheet pan with parchment paper. In a medium saucepan over low heat, start to melt the butter. Add the brown sugar, corn syrup, and molasses, and stir gently with a heatproof spatula. Continue to cook over medium heat, stirring only occasionally, until the mixture starts to boil. Clip a candy thermometer to the side of the pan and bring the syrup to the soft-ball stage, approximately 240 degrees F. Remove the pan from the heat and stir in the salt, the baking soda, and vanilla. Pour the caramel over the popcorn in large streams, then sprinkle with the peanuts. Use your spatula to fold the popcorn until it is completely coated with caramel. Place the roasting pan in the oven and bake for 15 minutes. Use a spatula to lift, flip, and coat the popcorn in the warm caramel, then continue baking for another 20 minutes. Cool the caramel popcorn in the pan for 5 minutes and transfer it to the lined sheet pan. Cool for approximately 15 minutes and drizzle the milk chocolate and dark chocolate in crisscross patterns over the top. Let the chocolate set before breaking the popcorn into serving-size pieces. Store in an airtight container for up to 1 week.",5
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,161642,Fast Microwave Caramel Corn,"['1 c. unpopped corn', '1/4 c. Karo syrup', '1 1/2 c. peanuts or mixed nuts', '1 c. brown sugar', '1 stick butter or margarine (do not use vegetable oil)']",Pop the corn. Remove any \ old maids\  from popcorn. Combine other ingredients in pan and bring to a boil. Boil for 2 minutes once it has started. Put popcorn into a (clean) large \ grocery\  bag. Pour caramel mixture over popcorn.,4
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,1234906,Salted Caramel Popcorn Mud Cakes,"['150 g dark chocolate, finely chopped', '100 g butter, chopped', '1/2 cup hot water', '1 cup caster sugar', '1 teaspoon vanilla extract', '2/3 cup plain flour', '1/4 cup self-raising flour', '1/4 cup cocoa powder', '1 egg', '453 g better crocker chocolate frosting', '175 g caramel coated popcorn (LollyGobble Bliss Bombs)', '1/3 cup salted peanuts, coarsely chopped', '500 g jersey caramels', '1/3 cup thickened cream', 'melted chocolate, to decorate']","Preheat the oven to 180 degrees/160 degrees fan forced and line ten 125ml (1/2 cup) muffin pans with paper cases. Microwave the chocolate, butter and hot water in a microwave safe bowl on high, stirring occasionally, for 3-5 minutes or until melted. Stir in the sugar and vanilla. Whisk in the combined flours,cocoa and egg until well combined. Divide the mixture evenly between the cases and bake for 20-25 minutes or until a skewer inserted into the centre comes out clean. Transfer to a wire rack to cool completely, then spread a little chocolate frosting over each one. Combine the caramel popcorn and peanuts in a large heatproof bowl. Stir the jersey caramels and cream in a small saucepan over low heat for 5 minutes or until melted and smooth. Pour two-thirds of the caramel mixture over the popcorn mixture and stir to combine. Set aside for about 3 minutes. While the popcorn mixture is still warm, spoon and shape mounds of it over the cakes. Set aside for 5 minutes to set. Warm the remaining caramel mixture over low heat and drizzle over the cupcakes along with melted chocolate to decorate.",5
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,84270,Caramel Popcorn Balls(Microwave),"['1 (3 1/2 oz.) pkg. microwave popcorn', '1/2 c. caramel topping', '1 c. marshmallow cream']","Microwave popcorn according to directions. Pour into large mixing bowl. In a 1-quart dish, pour 1/2 cup of caramel topping and 1 cup of marshmallow cream. Microwave on Medium for 20 seconds. Stir together well. Drizzle caramel mixture over the popcorn. Cover your hands with 2 small plastic bags. Mix the popcorn and caramel together well. Let stand 5 minutes. With bags on hands, form popcorn mixture into balls, pressing firmly. Drop each ball on a separate square of wax paper. Roll popcorn balls in the paper (or cellophane) and twist the ends to close. Refrigerate until ready to serve.",4
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,1436379,Greek Salad Bowl,"['8 cups torn romaine lettuce', '2 cups chopped cooked chicken breast (about 3/4 pound)', '1 (14-ounce) can hearts of palm (such as Vigo), drained and sliced', '1 (14-ounce) can quartered artichoke hearts (such as Vigo), drained', '1 cup grape tomatoes, halved', '1/2 cup pitted kalamata olives, halved', '1/2 cup thinly sliced red onion', '1/3 cup light Greek vinaigrette with oregano and feta cheese (such as Good Seasons)']",Combine all ingredients in a large bowl; toss well to coat. Serve immediately.,1
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,1917937,Southern Country Crunch,"['2 quarts popped popcorn', '12-34 cup pecan halves', '12 cup candy corn', '24 caramels, about 1/2 pound', '1 tablespoon water', '1 tablespoon sugar', 'butter or margarine']","Put popped popcorn, pecan halves and candy corn in a large bowl; toss to combine. Combine caramels, water and sugar in the top of a double boiler. Heat over simmering water, stirring frequently until caramel mixture is melted and smooth. Pour caramel mixture over popcorn mixture. Toss to coat evenly. When the caramel popcorn mixture is cool enough to handle but still soft, with buttered hands form into 16 small mounds or balls. About 1/2 cup mixture per mound or ball. Place mounds or balls on a buttered baking sheet until set.",4
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,328754,Easy Caramel Corn(Microwave),['Act II microwave caramel popcorn'],"Go to your local Target Store and get Act II microwave caramel popcorn. It consists of a bag of popcorn and pouch of caramel. until it is 2 to 3 seconds between pops. up, then spread out on cookie sheet.",3
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,1822381,Blueberry Peach Trifle Recipe,"['1 (14 ounce.) can Eagle Brand lowfat milk', '1 1/2 c. cool water', '2 teaspoon fresh grated lemon peel', '1 3 1/2 ounce. pkg. instant lemon peel', '2 c. whipping cream, whipped', '4 c. lb. cake, cubed', '2 1/2 c. fresh peaches sliced or possibly 1 (29 ounce.) can sliced peaches', '2 c. blueberries']",Combine:,2
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,1773369,"Fresh Duck Liver, Shallots and Brioche","['1 pound fresh duck livers, cleaned of any green bile and gristle', '1 tablespoon canola oil', '4 shallots, finely diced (about 1/4 cup)', '3 tablespoons honey', '3 tablespoons sherry vinegar', '1/4 cup port wine', '1/2 cup veal, stock or demi glace', 'Salt and freshly ground black pepper to taste', '6 to 8 fresh figs', 'Fresh brioche loaf, sliced and toasted']","Heat the canola oil in a saute pan over medium heat. Season the duck livers with salt and pepper and add the livers to the hot oil. Saute over medium high heat to brown the liver well before adding the shallots to the pan. Saute the shallots until translucent. Add the honey to the pan, allowing it to melt and begin to bubble. Add the vinegar carefully so that the hot honey does not splash. Add the port and cook for 2 minutes before adding the veal stock. Allow the sauce to come to a boil, reduce to a simmer and braise the livers for 2 minutes while the sauce simmers. Toast the slices of brioche and wash and quarter the fresh figs. Serve the duck livers, along with sauce, over the brioche and garnish each plate with several slices of fig.",1
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,907584,Reindeer Poop Popcorn,"['1 cup butter', '2 cups brown sugar', '1/2 cup corn syrup', '1 1/2 teaspoons salt', '1 cup shredded coconut, divided', '1/4 cup chopped peanuts', '1/4 cup sliced almonds, divided', '2 teaspoons vanilla extract', '1 teaspoon baking soda', '1/4 teaspoon ground cinnamon (optional)', '1 pinch ground nutmeg (optional)', '1 pinch ground allspice (optional)', '2 tablespoons virgin coconut oil', '1 tablespoon butter', '1 tablespoon vegetable oil', '1/2 cup unpopped popcorn', '3/4 cup chocolate chips', '1 tablespoon virgin coconut oil', '1 tablespoon shortening', ""1 tablespoon confectioners' sugar, sifted""]","Preheat oven to 250 degrees F (120 degrees C). Line 2 baking sheets with parchment paper. Melt 1 cup butter in a saucepan over medium heat. Stir brown sugar, corn syrup, and salt into melted butter; bring to a boil, stirring constantly, reduce heat to low, and simmer caramel sauce without stirring until slightly thickened, about 4 minutes. Remove from heat and stir 1/3 cup coconut, peanuts, 2 tablespoons almonds, vanilla extract, baking soda, cinnamon, nutmeg, and allspice into caramel. Heat 2 tablespoons coconut oil, 1 tablespoon butter, and vegetable oil together in a large pot over high heat. Pour popcorn into hot oil, cover the pot with a lid, and shake pot constantly over heat until all popcorn is popped, 1 to 3 minutes. Pour caramel sauce over hot popcorn and quickly stir to coat. Turn popcorn out onto prepared baking sheets. Sprinkle 1/3 cup coconut and remaining 2 tablespoons almonds over popcorn. Bake in the preheated oven for 45 minutes. Set oven rack about 6 inches from the heat source and preheat the oven's broiler. Broil popcorn until coconut and popcorn are lightly toasted, about 30 seconds. Melt chocolate chips, 1 tablespoon coconut oil, and shortening together in a saucepan until all are melted and the chocolate sauce is thin and pourable. Drizzle chocolate sauce and sprinkle remaining 1/3 cup coconut over popcorn; dust with confectioners' sugar. Lift parchment paper off of the baking sheets and transfer popcorn to the refrigerator to cool completely, about 45 minutes. Break into palm-sized chunks and store in airtight containers.",5
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,1921022,Chocolate Covered Caramel Popcorn Balls,"['14 cups Popped Plain Popcorn (about 1 Cup Unpopped Popcorn)', '1 package (14 Oz. Size) Caramel Candies', '4 Tablespoons Butter, Softened', '1 bag (12 Oz. Size) Semi-sweet Chocolate Chips, Melted', '10 whole Popsicle (sticks)', 'Sprinkles For Garnish']","Pop the popcorn. Place the popped popcorn in a large bowl. Set aside. Put the unwrapped caramel candies and butter in a medium-sized saucepan. Cook over medium-low heat and stir until melted and smooth. Remove from heat and pour over popcorn. Mix until all the popcorn is well coated. Let stand for a couple of minutes to cool. In the meantime, prepare your chocolate chips by melting them either in the microwave or over a double broiler. Melt until smooth. Grease your hands with butter and shape the popcorn into the size of a softball. Stick a popsicle stick in each popcorn ball and dip each popcorn ball into melted chocolate, then roll in sprinkles. Place on waxed paper until chocolate is set.",5
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,597908,Popcorn Or Apple Dip,"['8 oz. cream cheese', '1 c. brown sugar', '1 tsp. vanilla', 'sliced apples or popped popcorn']","Combine cream cheese, brown sugar and vanilla. Serve the \ caramel\  dip with the apples or popcorn.",4
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,1547760,Caramel Mallow Popcorn Balls,"['1 cup Popcorn Kernels', '1 package Fleur De Sel Caramels, 10 Oz Package (From Trader Joes, Or Other Caramels, Unwrapped)', '3 cups Marshmallows', '1 Tablespoon Butter', '1 cup Candy Corn', '1 cup Organic Chocolate Covered Rainbow Drops', '2 cups Butterscotch Chips']","Pop the popcorn according to package instructions. Then put the popped corn into a large bowl, removing any un-popped kernels. In a large saucepan over low heat add caramels, marshmallows, and butter. Stir constantly with a long wooden spoon until melted. Once melted, drizzle caramel over popcorn, stirring and turning popcorn so caramel coats all parts. Now stir in candy corn and chocolate rainbow drops. Let caramel popcorn cool 3-5 minutes until safe to handle. Form the popcorn into large baseball sized balls and set on a cookie sheet. Meanwhile melt butterscotch chips in a small saucepan over low heat. Once melted drizzle it over the popcorn balls and place each ball into a festive cupcake liner. Enjoy! Best eaten within 2 days.",5
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,629761,Plantation Pralines,"['3/4 c. granulated sugar', '3/4 c. heavy cream', '1/4 c. firmly packed dark brown sugar', '1 c. coarsely chopped pecans', '2 Tbsp. sweet butter', '1/8 tsp. salt']","Line 2 large cookie sheets with waxed paper. In a large saucepan, combine sugar, brown sugar and cream. Cook over medium heat until boiling, stirring constantly. Stir in pecans and cook until mixture reaches the soft ball stage (235\u00b0 to 240\u00b0). Remove from heat; add butter and salt. Stir vigorously until mixture starts to thicken and becomes cloudy.",1
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,1584965,Easy Southwest Chicken Salad,"['1 head Romaine Lettuce, Chopped', '1 whole Carrot, Peeled, Grated', '1 can (15 Oz. Can) Black Beans, Drained And Rinsed', '1 can (15 Oz. Can) Sweet Corn (frozen Works Too)', '1/2 blocks (8 Oz. Block) Cheddar Cheese, Diced', '1 whole Avocado, Chopped', '1 jar (16 Oz. Jar) Salsa', 'Ranch Dressing, To Taste', '4 pieces Cooked Boneless, Skinless Chicken Breast*', 'Frito Corn Chips, For Topping']","Mix together the chopped lettuce and grated carrots. Divide among 4 dinner plates. Top with desired amounts of black beans, corn, cheese, and avocado. Top with salsa and then ranch dressing. Cut cooked chicken breasts into slices. Top salad with chicken slices and crushed Fritos. Note: I usually buy chicken cutlets, drizzle them with olive oil and season with salt and pepper. Then I bake them in the oven and prepare the rest of the salad while they cook. Since they are cutlets, they cook in about 8-10 minutes.",2
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,307035,Enchilada Casserole,"['2 lb. hamburger meat', '1 doz. corn tortillas', '1 can cream of chicken soup', '1 can cream of mushroom soup', '1 can enchilada sauce', '1 small onion, diced', '3 Tbsp. chili powder', '1 tsp. cumin', '1 Tbsp. garlic powder', 'salt and pepper to taste', 'cheese slices', '1 c. grated Cheddar', '3 Tbsp. water']","Brown hamburger meat and rinse off grease. Return to pan or Dutch oven. Add water, onion and spices. Mix well over medium heat. Add chicken and mushroom soups and enchilada sauce. Rinse each can with small amount of water and add to pot. Simmer 10 minutes, mixing well.",1
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,976472,Cinnamon Bun Popcorn,"['12 cups popped popcorn (about 1/2 cup kernels or 2 bags of microwave popcorn)', '1 cup pecan halves, roughly chopped', '1 cup brown sugar', '1 teaspoon cinnamon', '1/4 cup light corn syrup', '1/2 cup real butter (= 1 stick)', '1 teaspoon vanilla', '1/2 teaspoon baking soda', '2 pieces white almond bark or 2 pieces white chocolate chips']","Preheat oven to 250 degrees. Pop your popcorn according to directions. Be sure and check for any UN-popped kernels, those are the WORST to bite into unexpectedly. Place popcorn and chopped pecans in a large bowl and set aside. Combine brown sugar and cinnamon, butter and karo in a medium sized pan and cook over medium heat, stirring constantly, until the mixture comes to rolling boil. Remove from heat and add your vanilla and baking soda. The baking soda will make your caramel mixture foam up and rise, don't be alarmed, it's suppose to (this is why you need to use a tall sided pot if you have one). Pour your caramel mixture over your popcorn and pecans and stir well. Spread popcorn mixture onto a foil-lined cookie sheet. Place in oven and bake for 30 minutes. Stir every 10 minutes. Remove from oven and let cool down. Break into bite size pieces. Melt white chocolate in microwave or stove top, then drizzle over popcorn. Eat and Enjoy. Store remaining popcorn in an air tight container.",5
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,1488705,Brown-Butter Maple Popcorn With Pecans Recipe,"['6 tablespoons unsalted butter', '6 tablespoons pure maple syrup', '2 cups pecans, lightly crushed', 'Kosher salt', '1/2 cup popcorn kernels, popped (about 8 cups popped)']","In a small saucepan, melt butter over medium-high heat, stirring and swirling, until foaming has subsided and milk solids have turned a chestnut-brown color, about 3 minutes. Add maple syrup and stir to combine. Add pecans and cook, stirring, until a caramel forms and thickens enough to briefly leave a trail when a spoon is scraped along the bottom of the saucepan, about 4 minutes. Season with salt. Place popped popcorn in a large mixing bowl and drizzle caramel mixture and nuts all over, tossing as you go, until popcorn is evenly coated in caramel. Season with salt, if necessary. Refrigerate popcorn until caramel is set, about 10 minutes. Toss to break up any clumps and serve. Popcorn can be refrigerated in a zipper-lock bag overnight.",3
"popcorn, chocolate, caramel, cheese","popcorn, chocolate, caramel, cheese",,1434993,Asian Citrus-Honey Mustard Marinade,"['1/3 cup honey', '1/4 cup orange juice', '1/4 cup olive oil', '3 tablespoons coarse-grained Dijon mustard', '2 tablespoons red wine vinegar', '1/2 teaspoon dried crushed red pepper', '1/4 teaspoon salt', '1/4 teaspoon freshly ground pepper', '1/4 teaspoon dark sesame oil']",Whisk together all ingredients. Cover and chill up to 4 days.,1
